,theme,num_mentions,rank
0,LEADER,7150242,2
1,POLITICS_GENERAL1,5191404,3
2,EDUCATION,4648129,4
3,SAFETY,4617870,5
4,PUBLIC_SECTOR_MANAGEMENT,4477584,6
5,FRAGILITY_CONFLICT_AND_VIOLENCE,4381991,7
6,GENERAL_GOVERNMENT,4212649,8
7,PRESIDENT,4091236,9
8,IMPLIED,3815190,10
9,JUSTICE,3575985,11
10,KILL,3431368,12
11,MEDIA_MSM,3325467,13
12,TRIAL,3269928,14
13,LEGISLATION,3091274,15
14,ARMEDCONFLICT,3043567,16
15,FORESTS_RIVERS_OCEANS,3036540,17
16,CONFLICT_AND_VIOLENCE,2912681,18
17,SECURITY_SERVICES,2909377,19
18,INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,2889562,20
19,AUTHORITIES,2798793,21
20,DIGITAL_GOVERNMENT,2791781,22
21,GOVERNMENT,2736114,23
22,DEAD,2689909,24
23,OFFICIALS,2622906,25
24,GENERAL_HEALTH,2548819,26
25,BROADCAST_AND_MEDIA,2508974,27
26,POLICE,2463145,28
27,MEDICAL,2450486,29
28,CRIMINAL_JUSTICE,2421775,30
29,PARTY,2384485,31
30,UPDATESSYMPATHY,2371192,32
31,PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,2368759,33
32,HEALTH_NUTRITION_AND_POPULATION,2327733,34
33,GENERALCRIME,2282168,35
34,ARREST,2274986,36
35,AFFECT,2222452,37
36,ECONOMY_HISTORIC,2219807,38
37,MIGRATION_FEAR_FEAR,2068401,39
38,GOVERNANCE,2031585,40
39,TITLE,2016469,41
40,MEDIA_SOCIAL,1919002,42
41,MINISTER,1904122,43
42,TERROR,1899037,44
43,MAN,1885560,45
44,AMERICAN,1859002,46
45,NATIONAL_SECURITY,1846664,47
46,ANTI_CORRUPTION,1840156,48
47,JOBS,1835777,49
48,INJURED,1828894,50
49,WELLBEING_HEALTH,1793012,51
50,ELECTION,1785710,52
51,CRIME_VIOLENCE,1782346,53
52,LAW,1777369,54
53,NATIONAL_PROTECTION_AND_SECURITY,1720889,55
54,CHIEF,1711053,56
55,ANTI_CORRUPTION_AUTHORITIES,1635617,57
56,TRANSPORT,1629906,58
57,POLITICAL,1588358,59
58,RUSSIAN,1550783,60
59,LEADERS,1539393,61
60,OFFICIAL,1531825,62
61,INVESTIGATION,1531489,63
62,DIRECTOR,1518029,64
63,PROTEST,1477026,65
64,REGULATION,1472944,66
65,SECRETARY,1461673,67
66,SCHOOL,1422403,68
67,CHILDREN,1404216,69
68,ATTORNEY,1399510,70
69,MILITARY,1372802,71
70,LAWMAKERS,1351191,72
71,PARTY_REPUBLICAN,1341161,73
72,SPOKESMAN,1338388,74
73,IMMIGRATION,1306055,75
74,UNIVERSITY,1304174,76
75,PRICE,1287226,77
76,CAUTION_ADVICE,1198551,78
77,GROUP,1183683,79
78,POLICY,1176586,80
79,TRANSPORT_INFRASTRUCTURE,1112284,81
80,WHITE_HOUSE,1111990,82
81,DISEASES,1110517,83
82,ECONOMY,1099858,84
83,WOUND,1090761,85
84,POLITICAL_VIOLENCE_AND_WAR,1083785,86
85,PRIME_MINISTER,1083661,87
86,HUMAN,1074300,88
87,OFFICERS,1054225,89
88,OFFICER,1054182,90
89,WOMAN,1053903,91
90,WOMEN,1033722,92
91,EXECUTIVE,1028067,93
92,DETENTION_PRISON_AND_CORRECTIONS_REFORM,1026429,94
93,MOVEMENT_GENERAL,1020484,95
94,JUDGE,1019603,96
95,PRIVATE_SECTOR_DEVELOPMENT,988956,97
96,BAN,985594,98
97,CRIMINAL,950591,99
98,POVERTY,949021,100
99,ORGANIZED_CRIME,935397,101
100,BORDER,918267,102
101,NON_COMMUNICABLE_DISEASE_AND_INJURY,905833,103
102,DEMOCRACY,903651,104
103,WATER,898885,105
104,TRADE,896139,106
105,FINANCIAL_SECTOR_DEVELOPMENT,895364,107
106,RUSSIA,893501,108
107,FRENCH,893088,109
108,DELAY,884664,110
109,MUSLIM,864879,111
110,HUMAN_RIGHTS,860443,112
111,SELF_IDENTIFIED_HUMAN_RIGHTS,859792,113
112,MIGRATION_FEAR_MIGRATION,847990,114
113,CONGRESS,839235,115
114,BELLIGERENT,837095,116
115,DEPUTY,825405,117
116,HOSPITAL,825149,118
117,NEGOTIATIONS,809563,119
118,ISLAMIC,806718,120
119,PUBLIC_ADMINISTRATION,805037,121
120,PRISON,804735,122
121,LOGISTICS_TRANSPORT,804217,123
122,CHAIRMAN,798123,124
